Name,Type of Body,LSGI Name,Constituency,Sl. No. of Constituency
Peringara,Grama Panchayat,Peringara Grama Panchayat,Thiruvalla,111
and Anicadu,Grama Panchayat,and Anicadu Grama Panchayat,Thiruvalla,111
Kallooppara,Grama Panchayat,Kallooppara Grama Panchayat,Thiruvalla,111
Mallappally,Grama Panchayat,Mallappally Grama Panchayat,Thiruvalla,111
Puramattom,Grama Panchayat,Puramattom Grama Panchayat,Thiruvalla,111
Kunnamthanam,Grama Panchayat,Kunnamthanam Grama Panchayat,Thiruvalla,111
Ezhumattoor,Grama Panchayat,Ezhumattoor Grama Panchayat,Ranni,112
Kottanad,Grama Panchayat,Kottanad Grama Panchayat,Ranni,112
Kottangal,Grama Panchayat,Kottangal Grama Panchayat,Ranni,112
and Ayiroor,Grama Panchayat,and Ayiroor Grama Panchayat,Ranni,112
Naranammoozhi,Grama Panchayat,Naranammoozhi Grama Panchayat,Ranni,112
Ranni-Angadi,Grama Panchayat,Ranni-Angadi Grama Panchayat,Ranni,112
Ranni- Pazhavangadi,Grama Panchayat,Ranni- Pazhavangadi Grama Panchayat,Ranni,112
Ranni-Perunad,Grama Panchayat,Ranni-Perunad Grama Panchayat,Ranni,112
Cherukole,Grama Panchayat,Cherukole Grama Panchayat,Ranni,112
Ranni,Grama Panchayat,Ranni Grama Panchayat,Ranni,112
Vadasserikkara,Grama Panchayat,Vadasserikkara Grama Panchayat,Ranni,112
Vechoochira,Grama Panchayat,Vechoochira Grama Panchayat,Ranni,112
Pathanamthitta Municipality,Municipality,Pathanamthitta Municipality,Aranmula,113
Aranmula,Grama Panchayat,Aranmula Grama Panchayat,Aranmula,113
Chenneerkara,Grama Panchayat,Chenneerkara Grama Panchayat,Aranmula,113
Elanthoor,Grama Panchayat,Elanthoor Grama Panchayat,Aranmula,113
Kozhenchery,Grama Panchayat,Kozhenchery Grama Panchayat,Aranmula,113
Kulanada,Grama Panchayat,Kulanada Grama Panchayat,Aranmula,113
Mallapuzhassery,Grama Panchayat,Mallapuzhassery Grama Panchayat,Aranmula,113
Mezhuveli,Grama Panchayat,Mezhuveli Grama Panchayat,Aranmula,113
Naranganam,Grama Panchayat,Naranganam Grama Panchayat,Aranmula,113
Omalloor,Grama Panchayat,Omalloor Grama Panchayat,Aranmula,113
and Eraviperoor,Grama Panchayat,and Eraviperoor Grama Panchayat,Aranmula,113
Koipram,Grama Panchayat,Koipram Grama Panchayat,Aranmula,113
Thottapuzhassery,Grama Panchayat,Thottapuzhassery Grama Panchayat,Aranmula,113
Aruvappulam,Grama Panchayat,Aruvappulam Grama Panchayat,Konni,114
Konni,Grama Panchayat,Konni Grama Panchayat,Konni,114
Malayalapuzha,Grama Panchayat,Malayalapuzha Grama Panchayat,Konni,114
Pramadom,Grama Panchayat,Pramadom Grama Panchayat,Konni,114
Mylapra,Grama Panchayat,Mylapra Grama Panchayat,Konni,114
Vallicode,Grama Panchayat,Vallicode Grama Panchayat,Konni,114
Thannithode,Grama Panchayat,Thannithode Grama Panchayat,Konni,114
and Enadimangalam,Grama Panchayat,and Enadimangalam Grama Panchayat,Konni,114
Kalanjoor,Grama Panchayat,Kalanjoor Grama Panchayat,Konni,114
and Chittar,Grama Panchayat,and Chittar Grama Panchayat,Konni,114
Seethathodu,Grama Panchayat,Seethathodu Grama Panchayat,Konni,114
Adoor Municipality,Municipality,Adoor Municipality,Adoor (SC),115
Pandalam,Grama Panchayat,Pandalam Grama Panchayat,Adoor (SC),115
Thumbamon,Grama Panchayat,Thumbamon Grama Panchayat,Adoor (SC),115
Pandalam Thekkekara,Grama Panchayat,Pandalam Thekkekara Grama Panchayat,Adoor (SC),115
Kodumon,Grama Panchayat,Kodumon Grama Panchayat,Adoor (SC),115
Ezhamkulam,Grama Panchayat,Ezhamkulam Grama Panchayat,Adoor (SC),115
Erathu,Grama Panchayat,Erathu Grama Panchayat,Adoor (SC),115
Pallickal,Grama Panchayat,Pallickal Grama Panchayat,Adoor (SC),115
Kadampanadu,Grama Panchayat,Kadampanadu Grama Panchayat,Adoor (SC),115
Alappad,Grama Panchayat,Alappad Grama Panchayat,Karunagappally,116
Clappana,Grama Panchayat,Clappana Grama Panchayat,Karunagappally,116
Kulasekharapuram,Grama Panchayat,Kulasekharapuram Grama Panchayat,Karunagappally,116
Oachira,Grama Panchayat,Oachira Grama Panchayat,Karunagappally,116
Thazhava,Grama Panchayat,Thazhava Grama Panchayat,Karunagappally,116
Thodiyoor,Grama Panchayat,Thodiyoor Grama Panchayat,Karunagappally,116
Karunagappally,Grama Panchayat,Karunagappally Grama Panchayat,Karunagappally,116
Ward No. 1,Municipal Corporation,Kollam Municipal Corporation,Chavara,117
Ward No. 2,Municipal Corporation,Kollam Municipal Corporation,Chavara,117
Ward No. 3,Municipal Corporation,Kollam Municipal Corporation,Chavara,117
Ward No. 4,Municipal Corporation,Kollam Municipal Corporation,Chavara,117
Ward No. 5,Municipal Corporation,Kollam Municipal Corporation,Chavara,117
Ward No. 49,Municipal Corporation,Kollam Municipal Corporation,Chavara,117
Ward No. 50,Municipal Corporation,Kollam Municipal Corporation,Chavara,117
in Kollam Taluk,Grama Panchayat,in Kollam Taluk Grama Panchayat,Chavara,117
Chavara,Grama Panchayat,Chavara Grama Panchayat,Chavara,117
Neendakara,Grama Panchayat,Neendakara Grama Panchayat,Chavara,117
Panmana,Grama Panchayat,Panmana Grama Panchayat,Chavara,117
Thekkumbhagom,Grama Panchayat,Thekkumbhagom Grama Panchayat,Chavara,117
Thevalakkara,Grama Panchayat,Thevalakkara Grama Panchayat,Chavara,117
East Kallada,Grama Panchayat,East Kallada Grama Panchayat,Kunnathur (SC),118
Mundrothuruth,Grama Panchayat,Mundrothuruth Grama Panchayat,Kunnathur (SC),118
and Kunnathur,Grama Panchayat,and Kunnathur Grama Panchayat,Kunnathur (SC),118
Mynagappally,Grama Panchayat,Mynagappally Grama Panchayat,Kunnathur (SC),118
Poruvazhy,Grama Panchayat,Poruvazhy Grama Panchayat,Kunnathur (SC),118
Sasthamcotta,Grama Panchayat,Sasthamcotta Grama Panchayat,Kunnathur (SC),118
Sooranad North,Grama Panchayat,Sooranad North Grama Panchayat,Kunnathur (SC),118
Sooranad South,Grama Panchayat,Sooranad South Grama Panchayat,Kunnathur (SC),118
West Kallada,Grama Panchayat,West Kallada Grama Panchayat,Kunnathur (SC),118
and Pavithreswaram,Grama Panchayat,and Pavithreswaram Grama Panchayat,Kunnathur (SC),118
Ezhukone,Grama Panchayat,Ezhukone Grama Panchayat,Kottarakkara,119
Kareepra,Grama Panchayat,Kareepra Grama Panchayat,Kottarakkara,119
Kottarakkara,Grama Panchayat,Kottarakkara Grama Panchayat,Kottarakkara,119
Kulakkada,Grama Panchayat,Kulakkada Grama Panchayat,Kottarakkara,119
Mylom,Grama Panchayat,Mylom Grama Panchayat,Kottarakkara,119
Neduvathur,Grama Panchayat,Neduvathur Grama Panchayat,Kottarakkara,119
Ummannoor,Grama Panchayat,Ummannoor Grama Panchayat,Kottarakkara,119
Veliyam,Grama Panchayat,Veliyam Grama Panchayat,Kottarakkara,119
Melila,Grama Panchayat,Melila Grama Panchayat,Pathanapuram,120
Vettikkavala,Grama Panchayat,Vettikkavala Grama Panchayat,Pathanapuram,120
and Pathanapuram,Grama Panchayat,and Pathanapuram Grama Panchayat,Pathanapuram,120
Pattazhy,Grama Panchayat,Pattazhy Grama Panchayat,Pathanapuram,120
Pattazhy Vadakkekara,Grama Panchayat,Pattazhy Vadakkekara Grama Panchayat,Pathanapuram,120
Piravanthoor,Grama Panchayat,Piravanthoor Grama Panchayat,Pathanapuram,120
Thalavoor,Grama Panchayat,Thalavoor Grama Panchayat,Pathanapuram,120
Vilakkudy,Grama Panchayat,Vilakkudy Grama Panchayat,Pathanapuram,120
Punalur Municipality,Municipality,Punalur Municipality,Punalur,121
Anchal,Grama Panchayat,Anchal Grama Panchayat,Punalur,121
Ariyankavu,Grama Panchayat,Ariyankavu Grama Panchayat,Punalur,121
Edamulakkal,Grama Panchayat,Edamulakkal Grama Panchayat,Punalur,121
Eroor,Grama Panchayat,Eroor Grama Panchayat,Punalur,121
Karavaloor,Grama Panchayat,Karavaloor Grama Panchayat,Punalur,121
Kulathupuzha,Grama Panchayat,Kulathupuzha Grama Panchayat,Punalur,121
Thenmala,Grama Panchayat,Thenmala Grama Panchayat,Punalur,121
Alayamon,Grama Panchayat,Alayamon Grama Panchayat,Chadayamangalam,122
and Chadayamangalam,Grama Panchayat,and Chadayamangalam Grama Panchayat,Chadayamangalam,122
Chithara,Grama Panchayat,Chithara Grama Panchayat,Chadayamangalam,122
Elamad,Grama Panchayat,Elamad Grama Panchayat,Chadayamangalam,122
Ittiva,Grama Panchayat,Ittiva Grama Panchayat,Chadayamangalam,122
Kadakkal,Grama Panchayat,Kadakkal Grama Panchayat,Chadayamangalam,122
Nilamel,Grama Panchayat,Nilamel Grama Panchayat,Chadayamangalam,122
Velinalloor,Grama Panchayat,Velinalloor Grama Panchayat,Chadayamangalam,122
Elampalloor,Grama Panchayat,Elampalloor Grama Panchayat,Kundara,123
Kottamkara,Grama Panchayat,Kottamkara Grama Panchayat,Kundara,123
Kundara,Grama Panchayat,Kundara Grama Panchayat,Kundara,123
Nedumpana,Grama Panchayat,Nedumpana Grama Panchayat,Kundara,123
Perayam Perinad,Grama Panchayat,Perayam Perinad Grama Panchayat,Kundara,123
Thrikkovilvattom,Grama Panchayat,Thrikkovilvattom Grama Panchayat,Kundara,123
Ward No. 6,Municipal Corporation,Kollam Municipal Corporation,Kollam,124
Ward No. 7,Municipal Corporation,Kollam Municipal Corporation,Kollam,124
Ward No. 8,Municipal Corporation,Kollam Municipal Corporation,Kollam,124
Ward No. 9,Municipal Corporation,Kollam Municipal Corporation,Kollam,124
Ward No. 10,Municipal Corporation,Kollam Municipal Corporation,Kollam,124
Ward No. 11,Municipal Corporation,Kollam Municipal Corporation,Kollam,124
Ward No. 12,Municipal Corporation,Kollam Municipal Corporation,Kollam,124
Ward No. 13,Municipal Corporation,Kollam Municipal Corporation,Kollam,124
Ward No. 16,Municipal Corporation,Kollam Municipal Corporation,Kollam,124
Ward No. 17,Municipal Corporation,Kollam Municipal Corporation,Kollam,124
Ward No. 18,Municipal Corporation,Kollam Municipal Corporation,Kollam,124
Ward No. 19,Municipal Corporation,Kollam Municipal Corporation,Kollam,124
Ward No. 42,Municipal Corporation,Kollam Municipal Corporation,Kollam,124
Ward No. 43,Municipal Corporation,Kollam Municipal Corporation,Kollam,124
Ward No. 44,Municipal Corporation,Kollam Municipal Corporation,Kollam,124
Ward No. 45,Municipal Corporation,Kollam Municipal Corporation,Kollam,124
Ward No. 46,Municipal Corporation,Kollam Municipal Corporation,Kollam,124
Ward No. 47,Municipal Corporation,Kollam Municipal Corporation,Kollam,124
Ward No. 48,Municipal Corporation,Kollam Municipal Corporation,Kollam,124
Panayam Thrikkadavoor,Grama Panchayat,Panayam Thrikkadavoor Grama Panchayat,Kollam,124
Thrikkaruva,Grama Panchayat,Thrikkaruva Grama Panchayat,Kollam,124
Ward No. 14,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 15,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 20,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 21,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 22,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 23,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 24,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 25,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 26,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 27,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 28,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 29,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 30,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 31,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 32,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 33,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 34,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 35,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 36,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 37,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 38,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 39,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 40,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
Ward No. 41,Municipal Corporation,Kollam Municipal Corporation,Eravipuram,125
and Mayyanad,Grama Panchayat,and Mayyanad Grama Panchayat,Eravipuram,125
Paravoor Municipality,Municipality,Paravoor Municipality,Chathannoor,126
Adichanalloor,Grama Panchayat,Adichanalloor Grama Panchayat,Chathannoor,126
Chathannoor,Grama Panchayat,Chathannoor Grama Panchayat,Chathannoor,126
Kalluvathukkal,Grama Panchayat,Kalluvathukkal Grama Panchayat,Chathannoor,126
Poothakkulam,Grama Panchayat,Poothakkulam Grama Panchayat,Chathannoor,126
and Pooyappally,Grama Panchayat,and Pooyappally Grama Panchayat,Chathannoor,126
Varkala Municipality,Municipality,Varkala Municipality,Varkala,127
Chemmaruthy,Grama Panchayat,Chemmaruthy Grama Panchayat,Varkala,127
Edava,Grama Panchayat,Edava Grama Panchayat,Varkala,127
Elakamon,Grama Panchayat,Elakamon Grama Panchayat,Varkala,127
Madavoor,Grama Panchayat,Madavoor Grama Panchayat,Varkala,127
Navaikulam,Grama Panchayat,Navaikulam Grama Panchayat,Varkala,127
Pallickal,Grama Panchayat,Pallickal Grama Panchayat,Varkala,127
Vettoor,Grama Panchayat,Vettoor Grama Panchayat,Varkala,127
Attingal Municipality,Municipality,Attingal Municipality,Attingal (SC),128
Cherunniyoor,Grama Panchayat,Cherunniyoor Grama Panchayat,Attingal (SC),128
Karavaram,Grama Panchayat,Karavaram Grama Panchayat,Attingal (SC),128
Kilimanoor,Grama Panchayat,Kilimanoor Grama Panchayat,Attingal (SC),128
Manamboor,Grama Panchayat,Manamboor Grama Panchayat,Attingal (SC),128
Nagaroor,Grama Panchayat,Nagaroor Grama Panchayat,Attingal (SC),128
Ottoor,Grama Panchayat,Ottoor Grama Panchayat,Attingal (SC),128
Pazhayakunnummel,Grama Panchayat,Pazhayakunnummel Grama Panchayat,Attingal (SC),128
Pulimath,Grama Panchayat,Pulimath Grama Panchayat,Attingal (SC),128
Vakkom,Grama Panchayat,Vakkom Grama Panchayat,Attingal (SC),128
Anjuthengu,Grama Panchayat,Anjuthengu Grama Panchayat,Chirayinkeezhu,129
Azhoor,Grama Panchayat,Azhoor Grama Panchayat,Chirayinkeezhu,129
Chirayinkeezhu,Grama Panchayat,Chirayinkeezhu Grama Panchayat,Chirayinkeezhu,129
Kadakkavoor,Grama Panchayat,Kadakkavoor Grama Panchayat,Chirayinkeezhu,129
Kizhuvilam,Grama Panchayat,Kizhuvilam Grama Panchayat,Chirayinkeezhu,129
Mudakkal,Grama Panchayat,Mudakkal Grama Panchayat,Chirayinkeezhu,129
and Kadinamkulam,Grama Panchayat,and Kadinamkulam Grama Panchayat,Chirayinkeezhu,129
Mangalapuram,Grama Panchayat,Mangalapuram Grama Panchayat,Chirayinkeezhu,129
Nedumangad Municipality,Municipality,Nedumangad Municipality,Nedumangad,130
Manikkal,Grama Panchayat,Manikkal Grama Panchayat,Nedumangad,130
Karakulam,Grama Panchayat,Karakulam Grama Panchayat,Nedumangad,130
and Andoorkonam,Grama Panchayat,and Andoorkonam Grama Panchayat,Nedumangad,130
Pothencode,Grama Panchayat,Pothencode Grama Panchayat,Nedumangad,130
Vembayam,Grama Panchayat,Vembayam Grama Panchayat,Nedumangad,130
Nellanad,Grama Panchayat,Nellanad Grama Panchayat,Vamanapuram,131
Pullampara,Grama Panchayat,Pullampara Grama Panchayat,Vamanapuram,131
Vamanapuram,Grama Panchayat,Vamanapuram Grama Panchayat,Vamanapuram,131
Anad,Grama Panchayat,Anad Grama Panchayat,Vamanapuram,131
Kallara,Grama Panchayat,Kallara Grama Panchayat,Vamanapuram,131
Nanniyode,Grama Panchayat,Nanniyode Grama Panchayat,Vamanapuram,131
Panavoor,Grama Panchayat,Panavoor Grama Panchayat,Vamanapuram,131
Pangode,Grama Panchayat,Pangode Grama Panchayat,Vamanapuram,131
Peringamala,Grama Panchayat,Peringamala Grama Panchayat,Vamanapuram,131
Ward No. 1,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Kazhakoottam,132
Ward No. 2,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Kazhakoottam,132
Ward No. 3,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Kazhakoottam,132
Ward No. 4,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Kazhakoottam,132
Ward No. 5,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Kazhakoottam,132
Ward No. 6,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Kazhakoottam,132
Ward No. 7,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Kazhakoottam,132
Ward No. 8,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Kazhakoottam,132
Ward No. 9,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Kazhakoottam,132
Ward No. 10,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Kazhakoottam,132
Ward No. 11,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Kazhakoottam,132
Ward No. 12,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Kazhakoottam,132
Ward No. 14,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Kazhakoottam,132
Ward No. 76,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Kazhakoottam,132
Ward No. 79,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Kazhakoottam,132
Ward No. 81,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Kazhakoottam,132
Kazhakoottam,Grama Panchayat,Kazhakoottam Grama Panchayat,Kazhakoottam,132
Sreekaryam,Grama Panchayat,Sreekaryam Grama Panchayat,Kazhakoottam,132
Ward No. 13,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Vattiyoorkavu (SC),133
Ward No. 15,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Vattiyoorkavu (SC),133
Ward No. 16,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Vattiyoorkavu (SC),133
Ward No. 17,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Vattiyoorkavu (SC),133
Ward No. 18,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Vattiyoorkavu (SC),133
Ward No. 19,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Vattiyoorkavu (SC),133
Ward No. 20,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Vattiyoorkavu (SC),133
Ward No. 21,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Vattiyoorkavu (SC),133
Ward No. 22,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Vattiyoorkavu (SC),133
Ward No. 23,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Vattiyoorkavu (SC),133
Ward No. 24,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Vattiyoorkavu (SC),133
Ward No. 25,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Vattiyoorkavu (SC),133
Ward No. 31,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Vattiyoorkavu (SC),133
Ward No. 32,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Vattiyoorkavu (SC),133
Ward No. 33,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Vattiyoorkavu (SC),133
Ward No. 34,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Vattiyoorkavu (SC),133
Ward No. 35,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Vattiyoorkavu (SC),133
Ward No. 36,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Vattiyoorkavu (SC),133
Kudappanakunnu,Grama Panchayat,Kudappanakunnu Grama Panchayat,Vattiyoorkavu (SC),133
Vattiyoorkavu,Grama Panchayat,Vattiyoorkavu Grama Panchayat,Vattiyoorkavu (SC),133
Ward No. 26,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 27,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 28,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 29,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 30,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 40,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 41,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 42,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 43,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 44,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 45,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 46,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 47,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 59,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 60,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 69,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 70,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 71,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 72,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 73,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 74,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 75,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 77,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 78,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 80,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Thiruvananthapuram,134
Ward No. 37,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 38,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 39,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 48,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 49,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 50,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 51,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 52,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 53,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 54,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 55,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 56,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 57,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 58,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 61,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 62,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 63,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 64,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 65,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 66,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 67,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Ward No. 68,Municipal Corporation,Thiruvananthapuram Municipal Corporation,Nemom,135
Aruvikkara,Grama Panchayat,Aruvikkara Grama Panchayat,Aruvikkara,136
Aryanad,Grama Panchayat,Aryanad Grama Panchayat,Aruvikkara,136
Tholicode,Grama Panchayat,Tholicode Grama Panchayat,Aruvikkara,136
Vithura,Grama Panchayat,Vithura Grama Panchayat,Aruvikkara,136
Kuttichal,Grama Panchayat,Kuttichal Grama Panchayat,Aruvikkara,136
Poovachal,Grama Panchayat,Poovachal Grama Panchayat,Aruvikkara,136
Vellanad,Grama Panchayat,Vellanad Grama Panchayat,Aruvikkara,136
Uzhamalackal,Grama Panchayat,Uzhamalackal Grama Panchayat,Aruvikkara,136
Amboori,Grama Panchayat,Amboori Grama Panchayat,Parassala,137
Aryancode,Grama Panchayat,Aryancode Grama Panchayat,Parassala,137
Kallikkad,Grama Panchayat,Kallikkad Grama Panchayat,Parassala,137
Kollayil,Grama Panchayat,Kollayil Grama Panchayat,Parassala,137
Kunnathukal,Grama Panchayat,Kunnathukal Grama Panchayat,Parassala,137
Ottasekharamangalam,Grama Panchayat,Ottasekharamangalam Grama Panchayat,Parassala,137
Parassala,Grama Panchayat,Parassala Grama Panchayat,Parassala,137
Perumkadavila,Grama Panchayat,Perumkadavila Grama Panchayat,Parassala,137
Vellarada,Grama Panchayat,Vellarada Grama Panchayat,Parassala,137
Kattakkada,Grama Panchayat,Kattakkada Grama Panchayat,Kattakkada,138
Malayinkeezhu,Grama Panchayat,Malayinkeezhu Grama Panchayat,Kattakkada,138
Maranalloor,Grama Panchayat,Maranalloor Grama Panchayat,Kattakkada,138
Pallichal,Grama Panchayat,Pallichal Grama Panchayat,Kattakkada,138
Vilappil,Grama Panchayat,Vilappil Grama Panchayat,Kattakkada,138
Vilavoorkal,Grama Panchayat,Vilavoorkal Grama Panchayat,Kattakkada,138
Balaramapuram,Grama Panchayat,Balaramapuram Grama Panchayat,Kovalam,139
Kalliyoor,Grama Panchayat,Kalliyoor Grama Panchayat,Kovalam,139
Venganoor,Grama Panchayat,Venganoor Grama Panchayat,Kovalam,139
and Balaramapuram,Grama Panchayat,and Balaramapuram Grama Panchayat,Kovalam,139
Kanjiramkulam,Grama Panchayat,Kanjiramkulam Grama Panchayat,Kovalam,139
Karumkulam,Grama Panchayat,Karumkulam Grama Panchayat,Kovalam,139
Kottukal,Grama Panchayat,Kottukal Grama Panchayat,Kovalam,139
Poovar,Grama Panchayat,Poovar Grama Panchayat,Kovalam,139
Vizhinjam,Grama Panchayat,Vizhinjam Grama Panchayat,Kovalam,139
Neyyattinkara Municipality,Municipality,Neyyattinkara Municipality,Neyyattinkara,140
Athiyannur,Grama Panchayat,Athiyannur Grama Panchayat,Neyyattinkara,140
Chenkal,Grama Panchayat,Chenkal Grama Panchayat,Neyyattinkara,140
Karode,Grama Panchayat,Karode Grama Panchayat,Neyyattinkara,140
Kulathoor,Grama Panchayat,Kulathoor Grama Panchayat,Neyyattinkara,140
