Name,Type of Body,LSGI Name,Constituency,Sl. No. of Constituency
Ward No. 10,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 11,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 12,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 13,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 14,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 15,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 16,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 39,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 40,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 42,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 43,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 44,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 45,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 46,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 47,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 48,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 49,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 50,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 51,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 17,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 18,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 19,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 20,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 21,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 22,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 23,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 24,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 25,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 26,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 27,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 28,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 29,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 30,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 31,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 32,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 33,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 34,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 35,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 36,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
